Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Vinculada;Conta Vinculada
150370300;000083.000001.000005.000006.000002.000000;False;False;False
105368342;000083.000001.000005.000006.000006.000000;False;False;False
114344001;000083.000001.000005.000006.000005.000000;False;False;False
753491;000083.000001.000005.000006.000008.000000;False;False;False
110788729;000083.000000.000000.000000.000000.000015;False;False;False
124253636;000091.000000.000013.000000.000000.000000;True;False;False
C22G0005541;000091.000000.000013.000000.000000.000000;False;False;False
10978399;000097.000005.000001.000000.000000.000000;False;False;False
13538209;000094.000000.000015.000001.000000.000000;False;False;False
2534894;000094.000000.000015.000002.000000.000000;False;False;False
15826911;000094.000000.000015.000003.000000.000000;False;False;False
2617803;000094.000000.000015.000004.000000.000000;False;False;False
2526212;000094.000000.000015.000005.000000.000000;False;False;False
18561799;000094.000000.000015.000006.000000.000000;False;False;False
27531287;000094.000000.000015.000006.000000.000000;False;False;False
-;000094.000000.000022.000012.000000.000000;False;False;False
24573451;000094.000000.000015.000007.000000.000000;False;False;False
2529327;000094.000000.000015.000008.000000.000000;False;False;False
119546671;000094.000000.000015.000008.000000.000000;False;False;False
19653671;000094.000000.000015.000008.000000.000000;False;False;False
18011420;000094.000000.000015.000028.000000.000000;False;False;False
115935649;000094.000000.000015.000051.000000.000000;False;False;False
132526883;000094.000000.000015.000052.000000.000000;False;False;False
105534722;000094.000000.000015.000053.000000.000000;False;False;False
127281894;000094.000000.000015.000055.000000.000000;False;False;False
