Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Vinculada;Unidade Ativa;Conta Vinculada
124253636;91.00.13.00.00.000;True;True;False;False
C22G0005541;91.00.13.00.00.000;False;False;False;False
10978399;000097.000005.000001.000000.000000.000000;False;False;False;False
11004720;000091.000005.000000.000000.000000.000000;False;False;False;False
709883;000085.000000.000000.000000.000000.000000;False;False;False;False
1062981;000085.000006.000004.000000.000000.000000;False;False;False;False
139713531;000085.000006.000000.000000.000000.000000;False;False;False;False
14624516;000086.000000.000000.000000.000000.000000;True;False;False;False
1679511;000086.000000.000000.000000.000000.000000;True;False;False;False
3679503;000086.000000.000000.000000.000000.000000;False;False;False;False
10980148;000048.000003.000002.000003.000000.000000;True;False;False;False
12870404;000091.000005.000000.000000.000000.000000;False;False;False;False
11003847;000091.000005.000002.000003.000000.000000;False;False;False;False
101982208;000091.000005.000002.000002.000000.000000;False;False;False;False
113612133;000089.000019.000006.000000.000000.000000;False;False;False;False
171210069;000089.000019.000007.000000.000000.000000;False;False;False;False
113612346;000089.000019.000007.000000.000000.000000;False;False;False;False
120921227;000092.000000.000016.000004.000016.000000;False;False;False;False
25348612;000092.000000.000016.000004.000008.000000;False;False;False;False
114603979;000092.000000.000016.000004.000009.000000;False;False;False;False
113610084;000092.000000.000016.000004.000011.000000;False;False;False;False
11004215;000092.000000.000019.000000.000000.000000;False;False;False;False
113577656;000092.000000.000016.000004.000012.000000;False;False;False;False
112110436;000092.000000.000016.000004.000006.000000;False;False;False;False
10978411;000092.000000.000015.000001.000005.000000;False;False;False;False
11251379;000092.000000.000020.000002.000000.000000;False;False;False;False
26162334;000092.000000.000015.000001.000007.000000;False;False;False;False
11064391;000092.000000.000015.000001.000003.000000;False;False;False;False
17960886;000092.000000.000013.000002.000002.000000;False;False;False;False
17960835;000092.000000.000013.000002.000004.000000;False;False;False;False
23938862;000092.000000.000016.000004.000001.000000;False;False;False;False
11337800;000092.000000.000013.000002.000005.000000;False;False;False;False
915441;000092.000000.000016.000004.000015.000000;False;False;False;False
117158208;000092.000000.000016.000004.000002.000000;False;False;False;False
109594347;000092.000000.000016.000004.000010.000000;False;False;False;False
108783545;000092.000000.000016.000004.000004.000000;False;False;False;False
26244896;000092.000000.000016.000004.000013.000000;False;False;False;False
104342609;000092.000000.000016.000004.000005.000000;False;False;False;False
1967991;000092.000000.000016.000004.000014.000000;False;False;False;False
3034941;000092.000000.000015.000001.000009.000000;False;False;False;False
13711440;000092.000000.000015.000001.000008.000000;False;False;False;False
121097595;000092.000000.000013.000002.000003.000000;False;False;False;False
103854606;000092.000000.000016.000004.000003.000000;False;False;False;False
"3146065 
123964482";000092.000000.000015.000001.000006.000000;False;False;False;False
2909057;000092.000000.000016.000004.000007.000000;False;False;False;False
"177009896 
10979433";000092.000000.000016.000003.000002.000000;False;False;False;False
