Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Vinculada;Conta Vinculada
SUBESTACAO;000083.000001.000005.000006.000002.000000;False;False;False
3014355474;000083.000001.000005.000006.000006.000000;True;False;False
3010092205;000083.000001.000005.000006.000005.000000;False;False;False
3005991935;000083.000001.000005.000006.000008.000000;False;False;False
3006692752;000083.000000.000000.000000.000000.000015;False;False;False
3003303225;000094.000000.000015.000001.000000.000000;False;False;False
3003303234;000094.000000.000015.000002.000000.000000;False;False;False
3003303228;000094.000000.000015.000003.000000.000000;False;False;False
3010459115;000094.000000.000015.000004.000000.000000;False;False;False
3003303248;000094.000000.000015.000005.000000.000000;False;False;False
3003657693;000094.000000.000015.000006.000000.000000;False;False;False
3012837129;000094.000000.000015.000007.000000.000000;False;False;False
3003303253;000094.000000.000015.000008.000000.000000;False;False;False
3003528815;000094.000000.000015.000028.000000.000000;False;False;False
3010250889;000094.000000.000015.000051.000000.000000;False;False;False
3012647019;000094.000000.000015.000052.000000.000000;False;False;False
3012636971;000094.000000.000015.000053.000000.000000;False;False;False
3003303235;000094.000000.000015.000055.000000.000000;False;False;False
3012016088;000094.000000.000015.000054.000000.000000;False;False;False
3010082594;000094.000000.000015.000058.000000.000000;False;False;False
3007075206;000094.000000.000015.000059.000000.000000;False;False;False
3010753802;000094.000000.000015.000060.000000.000000;False;False;False
3012527699;000094.000000.000015.000061.000000.000000;False;False;False
3012013119;000094.000000.000015.000062.000000.000000;False;False;False
3012151645;000094.000000.000015.000056.000000.000000;False;False;False
3007579816;000094.000000.000015.000063.000000.000000;False;False;False
3003303135;000094.000000.000015.000057.000000.000000;False;False;False
3011844123;000094.000000.000015.000064.000000.000000;False;False;False
3007112378;000094.000000.000015.000065.000000.000000;False;False;False
3003871522;000094.000000.000015.000050.000000.000000;False;False;False
3007454767;000094.000000.000015.000066.000000.000000;False;False;False
3012183548;000094.000000.000015.000067.000000.000000;False;False;False
3010775395;000094.000000.000015.000068.000000.000000;False;False;False
3011634165;000094.000000.000015.000069.000000.000000;False;False;False
3003303251;000094.000000.000015.000009.000000.000000;False;False;False
3003545947;000094.000000.000015.000010.000000.000000;False;False;False
3003528816;000094.000000.000015.000011.000000.000000;False;False;False
3003420800;000094.000000.000015.000012.000000.000000;False;False;False
3003303255;000094.000000.000015.000013.000000.000000;False;False;False
3003303252;000094.000000.000015.000014.000000.000000;False;False;False
3003303249;000094.000000.000015.000015.000000.000000;False;False;False
3003996582;000094.000000.000015.000016.000000.000000;False;False;False
3003303247;000094.000000.000015.000017.000000.000000;False;False;False
3003303237;000094.000000.000015.000018.000000.000000;False;False;False
3003657692;000094.000000.000015.000019.000000.000000;False;False;False
3011862278;000094.000000.000015.000049.000000.000000;False;False;False
3011072848;000094.000000.000015.000020.000000.000000;False;False;False
3006232969;000094.000000.000015.000021.000000.000000;False;False;False
3003303245;000094.000000.000015.000023.000000.000000;False;False;False
3003303222;000094.000000.000015.000024.000000.000000;False;False;False
3003303261;000094.000000.000015.000025.000000.000000;False;False;False
3011652683;000094.000000.000015.000026.000000.000000;False;False;False
3004785996;000094.000000.000015.000027.000000.000000;False;False;False
3003588985;000094.000000.000015.000029.000000.000000;False;False;False
3003302273;000094.000000.000016.000001.000000.000000;False;False;False
3009015996;000094.000000.000016.000011.000000.000000;False;False;False
3012221955;000094.000000.000016.000027.000000.000000;False;False;False
3011532770;000094.000000.000016.000028.000000.000000;False;False;False
3003301252;000094.000000.000016.000029.000000.000000;False;False;False
3010509457;000094.000000.000016.000030.000000.000000;False;False;False
3006706243;000094.000000.000016.000031.000000.000000;False;False;False
3012420455;000094.000000.000016.000032.000000.000000;False;False;False
3012420456;000094.000000.000016.000032.000000.000000;False;False;False
3006706216;000094.000000.000016.000032.000000.000000;False;False;False
3005263526;000094.000000.000016.000033.000000.000000;False;False;False
3010047166;000094.000000.000016.000034.000000.000000;False;False;False
3010917635;000094.000000.000016.000035.000000.000000;False;False;False
3010547951;000072.000000.000011.000000.000000.000100;False;False;False
3012236877;000094.000000.000016.000037.000000.000000;False;False;False
3007713869;000094.000000.000016.000003.000000.000000;False;False;False
3003302303;000094.000000.000016.000004.000000.000000;False;False;False
