Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Vinculada;Conta Vinculada
32779086;000083.000001.000005.000006.000002.000000;False;False;False
DESATIVADOS;000083.000001.000005.000006.000005.000000;False;False;False
32797919;000083.000001.000005.000006.000008.000000;False;False;False
7910;000083.000001.000005.000006.000008.000000;False;False;False
32771413;000083.000000.000000.000000.000000.000015;False;False;False
32771089;000035.000000.000000.000000.000000.000052;False;False;False
32775295;000097.000004.000000.000000.000000.000000;False;False;False
32775320;000097.000004.000000.000000.000000.000000;True;False;False
32775316;000097.000004.000000.000000.000000.000000;False;False;False
32775292;000097.000004.000000.000000.000000.000000;True;False;False
32777722;000097.000004.000000.000000.000000.000000;False;False;False
32466001;000097.000004.000000.000000.000000.000000;False;False;False
32771054;000097.000004.000001.000000.000000.000000;False;False;False
32460015;000097.000004.000001.000000.000000.000000;True;False;False
32460130;000097.000004.000001.000000.000000.000000;True;False;False
32460131;000097.000004.000001.000000.000000.000000;True;False;False
32460132;000097.000004.000001.000000.000000.000000;False;False;False
32460134;000097.000004.000001.000000.000000.000000;False;False;False
32460135;000097.000004.000001.000000.000000.000000;True;False;False
32460136;000097.000004.000001.000000.000000.000000;True;False;False
32460138;000097.000004.000001.000000.000000.000000;True;False;False
32771459;000097.000004.000001.000000.000000.000000;True;False;False
32776351;000097.000004.000001.000000.000000.000000;True;False;False
