Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Vinculada;Unidade Ativa;Conta Vinculada
32460052;000097.000001.000000.000000.000000.000000;False;False;False;False
32460267;000097.000001.000010.000000.000000.000000;False;False;False;False
32460044;000097.000001.000014.000000.000000.000000;False;False;False;False
32460050;000097.000001.000013.000000.000000.000000;False;False;False;False
32460269;000097.000001.000012.000000.000000.000000;False;False;False;False
32460271;000097.000001.000012.000000.000000.000000;False;False;False;False
32460140;000097.000001.000010.000000.000000.000000;False;False;False;False
32460270;000097.000001.000010.000000.000000.000000;False;False;False;False
32460188;000097.000003.000008.000000.000000.000000;False;False;False;False
32460172;000097.000003.000008.000000.000000.000000;False;False;False;False
32460169;000097.000003.000008.000000.000000.000000;False;False;False;False
32460174;000097.000003.000008.000000.000000.000000;False;False;False;False
32460173;000097.000003.000008.000000.000000.000000;False;False;False;False
32460183;000097.000003.000008.000000.000000.000000;False;False;False;False
32460185;000097.000003.000008.000000.000000.000000;False;False;False;False
32460182;000097.000003.000008.000000.000000.000000;False;False;False;False
32460171;000097.000003.000008.000000.000000.000000;False;False;False;False
32460186;000097.000003.000006.000000.000000.000000;False;False;False;False
32460170;000097.000003.000000.000000.000000.000000;False;False;False;False
32460191;000097.000003.000006.000000.000000.000000;False;False;False;False
32771754;000097.000003.000006.000000.000000.000000;False;False;False;False
32460178;000097.000003.000006.000000.000000.000000;False;False;False;False
32460179;000097.000003.000006.000000.000000.000000;False;False;False;False
32460054;000097.000005.000000.000000.000000.000000;False;False;False;False
32460273;000097.000005.000001.000000.000000.000000;False;False;False;False
32460272;000097.000005.000000.000000.000000.000000;False;False;False;False
32460282;000097.000005.000003.000000.000000.000000;False;False;False;False
32460167;000097.000005.000003.000000.000000.000000;False;False;False;False
32774842;000091.000005.000001.000004.000000.000000;False;False;False;False
32771496;000097.000000.000000.000000.000000.000000;False;False;False;False
32771457;000097.000000.000000.000000.000000.000000;False;False;False;False
32771462;000097.000000.000000.000000.000000.000000;False;False;False;False
32460194;000097.000000.000000.000000.000000.000000;False;False;False;False
32460224;000097.000000.000000.000000.000000.000000;True;False;False;False
32779252;000097.000000.000002.000000.000000.000000;False;False;False;False
32771767;000097.000000.000002.000000.000000.000000;False;False;False;False
32774888;000097.000000.000003.000000.000000.000000;False;False;False;False
32460040;000097.000000.000003.000000.000000.000000;False;False;False;False
32776344;000097.000000.000003.000000.000000.000000;False;False;False;False
32776346;000097.000000.000003.000000.000000.000000;False;False;False;False
32460215;000097.000001.000000.000000.000000.000000;False;False;False;False
32460055;000097.000001.000000.000000.000000.000000;False;False;False;False
32460051;000097.000001.000000.000000.000000.000000;False;False;False;False
32460239;000097.000001.000000.000000.000000.000000;False;False;False;False
32460247;000097.000001.000000.000000.000000.000000;False;False;False;False
32460190;000097.000003.000000.000000.000000.000000;False;False;False;False
32460175;000097.000003.000000.000000.000000.000000;False;False;False;False
32460177;000097.000003.000000.000000.000000.000000;False;False;False;False
32460142;000097.000005.000001.000000.000000.000000;False;False;False;False
32460280;000097.000005.000001.000000.000000.000000;False;False;False;False
32460283;000097.000005.000001.000000.000000.000000;False;False;False;False
